Date,Open,High,Low,Close,Adj Close,Volume
2019-08-20,127500.000000,128500.000000,125000.000000,126500.000000,118683.859375,481643
2019-08-21,126500.000000,127500.000000,124000.000000,125500.000000,117745.648438,530685
2019-08-22,126000.000000,126500.000000,124000.000000,124000.000000,116338.335938,480559
2019-08-23,123000.000000,126000.000000,123000.000000,126000.000000,118214.757813,256322
2019-08-26,124000.000000,126000.000000,123500.000000,124500.000000,116807.437500,391828
2019-08-27,125000.000000,126500.000000,124000.000000,125000.000000,117276.539063,1043657
2019-08-28,128500.000000,130500.000000,127000.000000,127500.000000,119622.078125,766622
2019-08-29,127500.000000,128000.000000,126000.000000,126500.000000,118683.859375,393472
2019-08-30,127500.000000,129000.000000,127000.000000,128500.000000,120560.296875,433515
2019-09-02,128000.000000,132000.000000,127500.000000,131000.000000,122905.820313,385326
2019-09-03,131500.000000,132000.000000,127500.000000,128500.000000,120560.296875,505454
2019-09-04,128000.000000,129000.000000,127000.000000,128500.000000,120560.296875,496326
2019-09-05,128000.000000,129000.000000,127000.000000,128000.000000,120091.179688,478990
2019-09-06,128000.000000,128500.000000,126500.000000,127500.000000,119622.078125,380856
2019-09-09,127500.000000,128500.000000,126000.000000,127000.000000,119152.976563,378542
2019-09-10,127000.000000,128500.000000,126500.000000,128000.000000,120091.179688,458487
2019-09-11,128500.000000,129000.000000,127500.000000,129000.000000,121029.390625,756459
2019-09-16,128500.000000,129500.000000,126000.000000,128000.000000,120091.179688,777956
2019-09-17,127500.000000,128000.000000,125500.000000,126000.000000,118214.757813,610086
2019-09-18,126000.000000,128500.000000,125500.000000,127500.000000,119622.078125,537604
2019-09-19,127500.000000,129000.000000,126500.000000,129000.000000,121029.390625,618746
2019-09-20,128500.000000,130500.000000,128000.000000,129500.000000,121498.500000,718752
2019-09-23,129500.000000,133500.000000,129000.000000,133000.000000,124782.242188,1007214
2019-09-24,134000.000000,135000.000000,132000.000000,134000.000000,125720.453125,615506
2019-09-25,133000.000000,135000.000000,131500.000000,134500.000000,126189.570313,448004
